+-------+-----+------+-----+-----+-----+--------+----------------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                        URI                         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                    | 14.888 | 14.888 | 14.888  | 14.888 | 14.888 | 14.888 | 14.888 | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 12    | 0   | 12   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                             | 0.632  | 1.284  | 11.760  | 0.980  | 1.180  | 1.284  | 1.284  | 0.174  | 42.000     | 749.000    | 3137.000    | 261.417    |
| 522   | 0   | 522  | 0   | 0   | 0   | POST   | /api/chair/coordinate                              | 0.108  | 1.068  | 217.860 | 0.417  | 0.628  | 0.728  | 0.968  | 0.164  | 29.000     | 29.000     | 15138.000   | 29.000     |
| 967   | 0   | 958  | 0   | 9   | 0   | GET    | /api/app/notification                              | 0.036  | 1.116  | 311.874 | 0.323  | 0.524  | 0.592  | 0.768  | 0.155  | 0.000      | 438.000    | 393420.000  | 406.846    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K0VF3S3TYC0VWMZZB5XHR1Q4/status | 0.284  | 0.284  | 0.284   | 0.284  | 0.284  | 0.284  | 0.284  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                                  | 0.276  | 0.276  | 0.276   | 0.276  | 0.276  | 0.276  | 0.276  | 0.000  | 9183.000   | 9183.000   | 9183.000    | 9183.000   |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/rides                                     | 0.204  | 0.404  | 2.744   | 0.274  | 0.324  | 0.404  | 0.404  | 0.061  | 51.000     | 52.000     | 517.000     | 51.700     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods                           | 0.176  | 0.496  | 2.736   | 0.274  | 0.292  | 0.496  | 0.496  | 0.082  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K0VF3RB65GG3F5EQP1G73STR/status | 0.236  | 0.236  | 0.236   | 0.236  | 0.236  | 0.236  | 0.236  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
