+-------+-----+------+-----+-----+-----+--------+----------------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                        URI                         |  MIN  |  MAX   |   SUM    |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 52    | 0   | 2    | 0   | 50  | 0   | GET    | /api/owner/chairs                                  | 0.632 | 10.012 | 501.038  | 9.635 | 10.008 | 10.009 | 10.012 | 1.792  | 0.000      | 19014.000  | 38006.000   | 730.885    |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/initialize                                    | 6.356 | 8.144  | 14.500   | 7.250 | 8.144  | 8.144  | 8.144  | 0.894  | 17.000     | 17.000     | 34.000      | 17.000     |
| 143   | 0   | 143  | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                             | 1.628 | 4.980  | 404.921  | 2.832 | 3.624  | 3.764  | 4.664  | 0.567  | 42.000     | 897.000    | 9305.000    | 65.070     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/rides                                     | 0.784 | 1.320  | 10.552   | 1.055 | 1.280  | 1.320  | 1.320  | 0.197  | 51.000     | 52.000     | 517.000     | 51.700     |
| 753   | 0   | 557  | 0   | 0   | 196 | POST   | /api/chair/coordinate                              | 0.104 | 2.304  | 563.324  | 0.748 | 1.236  | 1.456  | 1.756  | 0.368  | 29.000     | 78.000     | 31441.000   | 41.754     |
| 739   | 0   | 731  | 0   | 8   | 0   | GET    | /api/app/notification                              | 0.028 | 2.508  | 545.442  | 0.738 | 1.244  | 1.508  | 2.016  | 0.388  | 0.000      | 435.000    | 292310.000  | 395.548    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DVSFPQ4PAT2VVZY2STJ6R/status | 0.664 | 0.664  | 0.664    | 0.664 | 0.664  | 0.664  | 0.664  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DVP7JWXS9RDV3PFZYPEH1/status | 0.644 | 0.644  | 0.644    | 0.644 | 0.644  | 0.644  | 0.644  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DVRX2K76PRFD0VC2H50W7/status | 0.344 | 0.912  | 1.256    | 0.628 | 0.912  | 0.912  | 0.912  | 0.284  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DVQKWFPRRQ3RGMMN9V8V2/status | 0.588 | 0.588  | 0.588    | 0.588 | 0.588  | 0.588  | 0.588  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DVN6WS1B1AWYWFDDVXC3M/status | 0.420 | 0.420  | 0.420    | 0.420 | 0.420  | 0.420  | 0.420  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/app/payment-methods                           | 0.196 | 0.552  | 7.988    | 0.399 | 0.532  | 0.552  | 0.552  | 0.114  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DVMVH7876QBV7DKF47J99/status | 0.380 | 0.380  | 0.380    | 0.380 | 0.380  | 0.380  | 0.380  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DVPA64G9TKM78KAQQ2B8H/status | 0.348 | 0.348  | 0.348    | 0.348 | 0.348  | 0.348  | 0.348  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 40    | 0   | 40   | 0   | 0   | 0   | POST   | /api/chair/activity                                | 0.112 | 0.588  | 13.560   | 0.339 | 0.512  | 0.588  | 0.588  | 0.130  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DVN6DTGVK5MJVHTWP8AH8/status | 0.320 | 0.320  | 0.320    | 0.320 | 0.320  | 0.320  | 0.320  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /api/owner/sales?                                  | 0.236 | 0.284  | 0.520    | 0.260 | 0.284  | 0.284  | 0.284  | 0.024  | 9183.000   | 9190.000   | 18373.000   | 9186.500   |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DVNDX40Q5BSYEQWJSCWGA/status | 0.248 | 0.248  | 0.248    | 0.248 | 0.248  | 0.248  | 0.248  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /api/owner/sales                                   | 0.232 | 0.248  | 0.480    | 0.240 | 0.248  | 0.248  | 0.248  | 0.008  | 9017.000   | 9024.000   | 18041.000   | 9020.500   |
| 149   | 0   | 149  | 0   | 0   | 0   | GET    | /api/app/rides                                     | 0.008 | 0.856  | 34.848   | 0.234 | 0.412  | 0.492  | 0.732  | 0.149  | 12.000     | 2158.000   | 9584.000    | 64.322     |
| 8684  | 0   | 8661 | 0   | 23  | 0   | GET    | /api/chair/notification                            | 0.004 | 2.308  | 1878.359 | 0.216 | 0.428  | 0.572  | 0.932  | 0.184  | 0.000      | 268.000    | 524171.000  | 60.361     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DVN0EEH7JWB08K6MPV9WH/status | 0.216 | 0.216  | 0.216    | 0.216 | 0.216  | 0.216  | 0.216  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 18    | 0   | 18   | 0   | 0   | 0   | POST   | /api/app/rides/estimated-fare                      | 0.004 | 0.400  | 2.092    | 0.116 | 0.352  | 0.400  | 0.400  | 0.127  | 26.000     | 29.000     | 505.000     | 28.056     |
| 782   | 0   | 775  | 0   | 0   | 7   | GET    | /api/internal/matching                             | 0.004 | 1.396  | 14.640   | 0.019 | 0.020  | 0.056  | 0.388  | 0.081  | 0.000      | 69.000     | 474.000     | 0.606      |
| 40    | 0   | 40   | 0   | 0   | 0   | POST   | /api/chair/chairs                                  | 0.008 | 0.024  | 0.640    | 0.016 | 0.020  | 0.024  | 0.024  | 0.004  | 75.000     | 75.000     | 3000.000    | 75.000     |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/app/users                                     | 0.012 | 0.020  | 0.312    | 0.016 | 0.020  | 0.020  | 0.020  | 0.003  | 86.000     | 86.000     | 1720.000    | 86.000     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/owner/owners                                  | 0.008 | 0.020  | 0.124    | 0.012 | 0.016  | 0.020  | 0.020  | 0.003  | 125.000    | 125.000    | 1250.000    | 125.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /images/top-bg.png                                 | 0.002 | 0.008  | 0.010    | 0.005 | 0.008  | 0.008  | 0.008  | 0.003  | 549793.000 | 549793.000 | 1099586.000 | 549793.000 |
| 225   | 0   | 32   | 193 | 0   | 0   | GET    | /assets/components-Cbm4tYXz.js                     | 0.000 | 0.003  | 0.009    | 0.000 | 0.000  | 0.000  | 0.002  | 0.000  | 0.000      | 184569.000 | 5906208.000 | 26249.813  |
| 62    | 0   | 12   | 50  | 0   | 0   | GET    | /assets/route-DzrPVuAG.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 1908.000   | 22896.000   | 369.290    |
| 165   | 0   | 22   | 143 | 0   | 0   | GET    | /assets/storage-Coaj7Roq.js                        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 711.000    | 15642.000   | 94.800     |
| 165   | 0   | 22   | 143 | 0   | 0   | GET    | /images/buildings5.svg                             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 9858.000   | 216876.000  | 1314.400   |
| 165   | 0   | 22   | 143 | 0   | 0   | GET    | /images/house2.svg                                 | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 6430.000   | 141460.000  | 857.333    |
| 225   | 0   | 32   | 193 | 0   | 0   | GET    | /assets/index-9ZhTBp7q.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 60305.000  | 1929760.000 | 8576.711   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-Bu9MIazC.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 10479.000  | 10479.000  | 20958.000   | 10479.000  |
| 22    | 0   | 22   | 0   | 0   | 0   | GET    | /assets/route-j6B5sfAw.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 3490.000   | 3490.000   | 76780.000   | 3490.000   |
| 165   | 0   | 22   | 143 | 0   | 0   | GET    | /images/house1.svg                                 | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 2903.000   | 63866.000   | 387.067    |
| 22    | 0   | 22   | 0   | 0   | 0   | GET    | /assets/responses-Cu7_GOWP.js                      | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 350.000    | 350.000    | 7700.000    | 350.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-qjNoFN43.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 2937.000   | 2937.000   | 5874.000    | 2937.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/get-initial-data-vd1rP8TD.js               | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1757.000   | 1757.000   | 3514.000    | 1757.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-CNt_mqIX.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 26045.000  | 26045.000  | 52090.000   | 26045.000  |
| 165   | 0   | 22   | 143 | 0   | 0   | GET    | /assets/api-base-url-Bd0x18OB.js                   | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 26.000     | 572.000     | 3.467      |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-BE5HJ0d6.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 3303.000   | 3303.000   | 6606.000    | 3303.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-C7CZBETH.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 2244.000   | 2244.000   | 4488.000    | 2244.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-Ckv8UtcK.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1148.000   | 1148.000   | 2296.000    | 1148.000   |
| 225   | 0   | 32   | 193 | 0   | 0   | GET    | /favicon.ico                                       | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 16958.000  | 542656.000  | 2411.804   |
| 225   | 0   | 32   | 193 | 0   | 0   | GET    | /assets/root-JpS3BGeV.js                           | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 27925.000  | 893600.000  | 3971.556   |
| 22    | 0   | 22   | 0   | 0   | 0   | GET    | /assets/route-BbZUnrjQ.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1029.000   | 1029.000   | 22638.000   | 1029.000   |
| 225   | 0   | 32   | 193 | 0   | 0   | GET    | /assets/colors-DB9lnfSt.js                         | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 5678.000   | 181696.000  | 807.538    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/manifest-2155a205.js                       | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 9192.000   | 9192.000   | 18384.000   | 9192.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/post-message-C3RbgkUr.js                   | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 367.000    | 367.000    | 734.000     | 367.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/rating-star-gH9aOYPH.js                    | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 519.000    | 519.000    | 1038.000    | 519.000    |
| 12    | 0   | 12   | 0   | 0   | 0   | GET    | /assets/route-CJUF4eR6.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1576.000   | 1576.000   | 18912.000   | 1576.000   |
| 175   | 0   | 32   | 143 | 0   | 0   | GET    | /assets/text-DfCqYLRl.js                           | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 505.000    | 16160.000   | 92.343     |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /images/top-logo.svg                               | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 4749.000   | 4749.000   | 9498.000    | 4749.000   |
| 165   | 0   | 22   | 143 | 0   | 0   | GET    | /images/town.svg                                   | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 128735.000 | 2832170.000 | 17164.667  |
