+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN  |  MAX   |   SUM    |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 31    | 0   | 1    | 0   | 30  | 0   | GET    | /api/owner/chairs                                    | 0.692 | 10.004 | 298.120  | 9.617 | 10.004 | 10.004 | 10.004 | 1.641  | 0.000      | 18992.000  | 18992.000   | 612.645    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                      | 7.424 | 7.424  | 7.424    | 7.424 | 7.424  | 7.424  | 7.424  | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 24    | 0   | 24   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                               | 1.816 | 5.936  | 77.168   | 3.215 | 4.672  | 4.760  | 5.936  | 1.168  | 42.000     | 750.000    | 8226.000    | 342.750    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JYKCDE7JACFZQ5YT1A7T6MQ4/evaluation | 1.180 | 1.180  | 1.180    | 1.180 | 1.180  | 1.180  | 1.180  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JYKCDCCM0XXFXQD3141EN4B2/evaluation | 1.092 | 1.092  | 1.092    | 1.092 | 1.092  | 1.092  | 1.092  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JYKCDCCWY8HXQR2MH0NB0NVT/evaluation | 0.932 | 0.932  | 0.932    | 0.932 | 0.932  | 0.932  | 0.932  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/app/rides                                       | 0.192 | 1.348  | 16.112   | 0.806 | 1.268  | 1.344  | 1.348  | 0.341  | 51.000     | 52.000     | 1034.000    | 51.700     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JYKCDC5RMRQSXP1WD59N5TNK/evaluation | 0.708 | 0.708  | 0.708    | 0.708 | 0.708  | 0.708  | 0.708  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 835   | 0   | 824  | 0   | 11  | 0   | GET    | /api/app/notification                                | 0.028 | 1.680  | 537.312  | 0.643 | 1.036  | 1.160  | 1.516  | 0.295  | 0.000      | 437.000    | 325327.000  | 389.613    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JYKCDBVDX0VPCFKFWZV6CN1A/evaluation | 0.628 | 0.628  | 0.628    | 0.628 | 0.628  | 0.628  | 0.628  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JYKCDE7JACFZQ5YT1A7T6MQ4/status   | 0.424 | 0.684  | 1.108    | 0.554 | 0.684  | 0.684  | 0.684  | 0.130  | 0.000      | 0.000      | 0.000       | 0.000      |
| 829   | 0   | 829  | 0   | 0   | 0   | POST   | /api/chair/coordinate                                | 0.028 | 1.500  | 425.240  | 0.513 | 0.820  | 0.916  | 1.068  | 0.224  | 29.000     | 29.000     | 24041.000   | 29.000     |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JYKCDCCM0XXFXQD3141EN4B2/status   | 0.260 | 0.512  | 0.772    | 0.386 | 0.512  | 0.512  | 0.512  | 0.126  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JYKCDC5RMRQSXP1WD59N5TNK/status   | 0.228 | 0.532  | 0.760    | 0.380 | 0.532  | 0.532  | 0.532  | 0.152  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JYKCETSQSTRNPKC4WGJ9D0V5/status   | 0.376 | 0.376  | 0.376    | 0.376 | 0.376  | 0.376  | 0.376  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 14    | 0   | 14   | 0   | 0   | 0   | POST   | /api/app/payment-methods                             | 0.140 | 0.520  | 4.600    | 0.329 | 0.516  | 0.520  | 0.520  | 0.119  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JYKCEZ6DCPZB68FF7RKJ4A6A/status   | 0.328 | 0.328  | 0.328    | 0.328 | 0.328  | 0.328  | 0.328  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 27    | 0   | 27   | 0   | 0   | 0   | GET    | /api/app/rides                                       | 0.008 | 0.700  | 8.352    | 0.309 | 0.584  | 0.584  | 0.700  | 0.185  | 12.000     | 2158.000   | 6661.000    | 246.704    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JYKCDEG1AX0WHVDYBDNC0P43/evaluation | 0.296 | 0.296  | 0.296    | 0.296 | 0.296  | 0.296  | 0.296  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JYKCDEG1AX0WHVDYBDNC0P43/status   | 0.176 | 0.396  | 0.572    | 0.286 | 0.396  | 0.396  | 0.396  | 0.110  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JYKCDBVDX0VPCFKFWZV6CN1A/status   | 0.212 | 0.348  | 0.560    | 0.280 | 0.348  | 0.348  | 0.348  | 0.068  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                                    | 0.256 | 0.256  | 0.256    | 0.256 | 0.256  | 0.256  | 0.256  | 0.000  | 9183.000   | 9183.000   | 9183.000    | 9183.000   |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                                  | 0.084 | 0.364  | 5.076    | 0.254 | 0.364  | 0.364  | 0.364  | 0.073  | 0.000      | 0.000      | 0.000       | 0.000      |
