+-------+-----+------+-----+-----+-----+--------+---------------------------------------+-------+--------+---------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                  URI                  |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
| 157   | 0   | 16   | 141 | 0   | 0   | GET    | /favicon-32x32.png                    | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 336.000    | 5376.000    | 34.242     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/chair-PB3Jm0Ii.js             | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 2008.000   | 2008.000   | 2008.000    | 2008.000   |
| 157   | 0   | 16   | 141 | 0   | 0   | GET    | /assets/index-9ZhTBp7q.js             | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 60305.000  | 964880.000  | 6145.732   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-C7CZBETH.js             | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 2244.000   | 2244.000   | 2244.000    | 2244.000   |
| 36    | 0   | 16   | 20  | 0   | 0   | GET    | /assets/button-CS9qg6Tt.js            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 843.000    | 13488.000   | 374.667    |
| 157   | 0   | 16   | 141 | 0   | 0   | GET    | /assets/entry.client-BwsCJ-uh.js      | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 4135.000   | 66160.000   | 421.401    |
| 11    | 0   | 11   | 0   | 0   | 0   | GET    | /assets/responses-Cu7_GOWP.js         | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 350.000    | 350.000    | 3850.000    | 350.000    |
| 157   | 0   | 16   | 141 | 0   | 0   | GET    | /assets/root-JpS3BGeV.js              | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 27925.000  | 446800.000  | 2845.860   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/post-message-C3RbgkUr.js      | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 367.000    | 367.000    | 367.000     | 367.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-CNt_mqIX.js             | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 26045.000  | 26045.000  | 26045.000   | 26045.000  |
| 132   | 0   | 11   | 121 | 0   | 0   | GET    | /assets/frame-CJ9SHS1U.js             | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 344.000    | 3784.000    | 28.667     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/get-initial-data-vd1rP8TD.js  | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1757.000   | 1757.000   | 1757.000    | 1757.000   |
| 26    | 0   | 6    | 20  | 0   | 0   | GET    | /assets/owner-context-DCgOhQtd.js     | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 1077.000   | 6462.000    | 248.538    |
| 132   | 0   | 11   | 121 | 0   | 0   | GET    | /assets/storage-Coaj7Roq.js           | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 711.000    | 7821.000    | 59.250     |
| 157   | 0   | 16   | 141 | 0   | 0   | GET    | /assets/api-components-dDIZztSJ.js    | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 2007.000   | 32112.000   | 204.535    |
| 132   | 0   | 11   | 121 | 0   | 0   | GET    | /assets/api-base-url-Bd0x18OB.js      | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 26.000     | 286.000     | 2.167      |
| 157   | 0   | 16   | 141 | 0   | 0   | GET    | /assets/colors-DB9lnfSt.js            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 5678.000   | 90848.000   | 578.650    |
| 11    | 0   | 11   | 0   | 0   | 0   | GET    | /assets/date-input-Br46mw6i.js        | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 425.000    | 425.000    | 4675.000    | 425.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/rating-star-gH9aOYPH.js       | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 519.000    | 519.000    | 519.000     | 519.000    |
| 132   | 0   | 11   | 121 | 0   | 0   | GET    | /assets/route-B_Zm-GyU.js             | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 2687.000   | 29557.000   | 223.917    |
| 11    | 0   | 11   | 0   | 0   | 0   | GET    | /assets/route-BbZUnrjQ.js             | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1029.000   | 1029.000   | 11319.000   | 1029.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-qjNoFN43.js             | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 2937.000   | 2937.000   | 2937.000    | 2937.000   |
| 132   | 0   | 11   | 121 | 0   | 0   | GET    | /images/buildings1.svg                | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 13886.000  | 152746.000  | 1157.167   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /apple-touch-icon-180x180.png         | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1020.000   | 1020.000   | 1020.000    | 1020.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-Ckv8UtcK.js             | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1148.000   | 1148.000   | 1148.000    | 1148.000   |
| 157   | 0   | 16   | 141 | 0   | 0   | GET    | /assets/root-BoSp76zW.css             | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 26579.000  | 425264.000  | 2708.688   |
| 132   | 0   | 11   | 121 | 0   | 0   | GET    | /images/buildings6.svg                | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 9454.000   | 103994.000  | 787.833    |
| 157   | 0   | 16   | 141 | 0   | 0   | GET    | /assets/bundle-mjs-Dnoi3Axr.js        | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 19912.000  | 318592.000  | 2029.248   |
| 132   | 0   | 11   | 121 | 0   | 0   | GET    | /assets/client-context-C6wEaUbS.js    | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 2262.000   | 24882.000   | 188.500    |
