+-------+-----+------+-----+-----+-----+--------+---------------------------------------+-------+--------+---------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                  URI                  |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+---------------------------------------+-------+--------+---------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 21    | 0   | 1    | 0   | 20  | 0   | GET    | /api/owner/chairs                     | 0.680 | 10.008 | 199.560 | 9.503 | 10.004 | 10.004 | 10.008 | 1.975  | 0.000      | 18992.000  | 18992.000   | 904.381    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                       | 6.760 | 6.760  | 6.760   | 6.760 | 6.760  | 6.760  | 6.760  | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 124   | 0   | 124  | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                | 1.612 | 4.348  | 337.260 | 2.720 | 3.404  | 3.664  | 4.168  | 0.561  | 42.000     | 42.000     | 5208.000    | 42.000     |
| 192   | 0   | 0    | 0   | 0   | 192 | POST   | /api/chair/coordinate                 | 0.060 | 1.572  | 88.804  | 0.463 | 0.804  | 1.236  | 1.472  | 0.298  | 78.000     | 78.000     | 14976.000   | 78.000     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods              | 0.240 | 0.488  | 4.164   | 0.416 | 0.488  | 0.488  | 0.488  | 0.097  | 0.000      | 0.000      | 0.000       | 0.000      |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                   | 0.100 | 0.576  | 6.588   | 0.329 | 0.488  | 0.488  | 0.576  | 0.146  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                     | 0.248 | 0.248  | 0.248   | 0.248 | 0.248  | 0.248  | 0.248  | 0.000  | 9183.000   | 9183.000   | 9183.000    | 9183.000   |
| 127   | 0   | 127  | 0   | 0   | 0   | GET    | /api/app/rides                        | 0.012 | 0.880  | 30.036  | 0.237 | 0.432  | 0.552  | 0.708  | 0.158  | 12.000     | 2158.000   | 5422.000    | 42.693     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales                      | 0.228 | 0.228  | 0.228   | 0.228 | 0.228  | 0.228  | 0.228  | 0.000  | 9017.000   | 9017.000   | 9017.000    | 9017.000   |
| 4402  | 0   | 4386 | 0   | 16  | 0   | GET    | /api/chair/notification               | 0.004 | 0.928  | 702.352 | 0.160 | 0.312  | 0.380  | 0.544  | 0.113  | 0.000      | 33.000     | 144738.000  | 32.880     |
