+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+---------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+---------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 22    | 0   | 1    | 0   | 21  | 0   | GET    | /api/owner/chairs                                    | 0.748 | 10.012 | 207.284 | 9.422 | 10.008 | 10.008 | 10.012 | 2.022  | 0.000      | 19007.000  | 19007.000   | 863.955    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                      | 7.192 | 7.192  | 7.192   | 7.192 | 7.192  | 7.192  | 7.192  | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 17    | 0   | 17   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                               | 0.108 | 4.660  | 41.472  | 2.440 | 4.628  | 4.660  | 4.660  | 1.810  | 42.000     | 889.000    | 9476.000    | 557.412    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JXFBQCWZ8C5VNRX28P2K8Q2Q/evaluation | 0.944 | 0.944  | 0.944   | 0.944 | 0.944  | 0.944  | 0.944  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JXFBQCSMVNM7Y3W0NDXE1E0E/evaluation | 0.920 | 0.920  | 0.920   | 0.920 | 0.920  | 0.920  | 0.920  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 11    | 0   | 11   | 0   | 0   | 0   | POST   | /api/app/rides                                       | 0.044 | 1.336  | 8.908   | 0.810 | 1.184  | 1.336  | 1.336  | 0.360  | 51.000     | 52.000     | 569.000     | 51.727     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFBQCS8F5V0Z2HRNFKFCTF6/status   | 0.664 | 0.664  | 0.664   | 0.664 | 0.664  | 0.664  | 0.664  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFBQD0TK8MMRVMS7AJW3Z7M/status   | 0.264 | 0.940  | 1.204   | 0.602 | 0.940  | 0.940  | 0.940  | 0.338  | 0.000      | 0.000      | 0.000       | 0.000      |
| 546   | 0   | 546  | 0   | 0   | 0   | POST   | /api/chair/coordinate                                | 0.020 | 1.664  | 323.112 | 0.592 | 0.916  | 1.008  | 1.236  | 0.234  | 29.000     | 29.000     | 15834.000   | 29.000     |
| 11    | 0   | 11   | 0   | 0   | 0   | POST   | /api/app/payment-methods                             | 0.016 | 0.812  | 5.548   | 0.504 | 0.812  | 0.812  | 0.812  | 0.201  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFBQCSMVNM7Y3W0NDXE1E0E/status   | 0.436 | 0.564  | 1.000   | 0.500 | 0.564  | 0.564  | 0.564  | 0.064  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFBQCV44H7H55KR3C3RTVKG/status   | 0.252 | 0.656  | 0.908   | 0.454 | 0.656  | 0.656  | 0.656  | 0.202  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFBQC653V4D94TXMHF58KH1/status   | 0.352 | 0.352  | 0.352   | 0.352 | 0.352  | 0.352  | 0.352  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFBQCWZ8C5VNRX28P2K8Q2Q/status   | 0.176 | 0.480  | 0.656   | 0.328 | 0.480  | 0.480  | 0.480  | 0.152  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFBQE4AMCY0J1BSHFYP1XWQ/status   | 0.300 | 0.300  | 0.300   | 0.300 | 0.300  | 0.300  | 0.300  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFBQCWT9Z8MHY8PSXC8112Q/status   | 0.284 | 0.284  | 0.284   | 0.284 | 0.284  | 0.284  | 0.284  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                                    | 0.276 | 0.276  | 0.276   | 0.276 | 0.276  | 0.276  | 0.276  | 0.000  | 9183.000   | 9183.000   | 9183.000    | 9183.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales                                     | 0.256 | 0.256  | 0.256   | 0.256 | 0.256  | 0.256  | 0.256  | 0.000  | 9024.000   | 9024.000   | 9024.000    | 9024.000   |
| 21    | 0   | 20   | 0   | 1   | 0   | POST   | /api/chair/activity                                  | 0.056 | 0.856  | 4.632   | 0.221 | 0.280  | 0.292  | 0.856  | 0.162  | 0.000      | 46.000     | 46.000      | 2.190      |
| 14    | 0   | 14   | 0   | 0   | 0   | GET    | /api/app/rides                                       | 0.012 | 0.604  | 2.796   | 0.200 | 0.480  | 0.604  | 0.604  | 0.172  | 12.000     | 2158.000   | 4066.000    | 290.429    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFBQDXSNFA5KFH508TQ25ZT/status   | 0.172 | 0.172  | 0.172   | 0.172 | 0.172  | 0.172  | 0.172  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2700  | 0   | 2689 | 0   | 11  | 0   | GET    | /api/app/notification                                | 0.004 | 1.960  | 459.860 | 0.170 | 0.716  | 0.972  | 1.304  | 0.327  | 0.000      | 428.000    | 970400.000  | 359.407    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFBQG26P9G950DCKR2H78CZ/status   | 0.164 | 0.164  | 0.164   | 0.164 | 0.164  | 0.164  | 0.164  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 6128  | 0   | 6113 | 0   | 15  | 0   | GET    | /api/chair/notification                              | 0.004 | 1.456  | 920.556 | 0.150 | 0.412  | 0.540  | 0.812  | 0.189  | 0.000      | 267.000    | 1036413.000 | 169.127    |
| 15    | 0   | 15   | 0   | 0   | 0   | POST   | /api/app/rides/estimated-fare                        | 0.008 | 0.324  | 1.656   | 0.110 | 0.280  | 0.324  | 0.324  | 0.108  | 26.000     | 29.000     | 425.000     | 28.333     |
| 11    | 0   | 11   | 0   | 0   | 0   | POST   | /api/app/users                                       | 0.012 | 0.036  | 0.232   | 0.021 | 0.032  | 0.036  | 0.036  | 0.007  | 86.000     | 86.000     | 946.000     | 86.000     |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/chairs                                    | 0.012 | 0.024  | 0.336   | 0.017 | 0.020  | 0.020  | 0.024  | 0.003  | 75.000     | 75.000     | 1500.000    | 75.000     |
| 5     | 0   | 5    | 0   | 0   | 0   | POST   | /api/owner/owners                                    | 0.008 | 0.016  | 0.060   | 0.012 | 0.016  | 0.016  | 0.016  | 0.003  | 125.000    | 125.000    | 625.000     | 125.000    |
| 1848  | 0   | 1843 | 0   | 0   | 5   | GET    | /api/internal/matching                               | 0.004 | 1.148  | 15.920  | 0.009 | 0.008  | 0.008  | 0.100  | 0.044  | 0.000      | 166.000    | 433.000     | 0.234      |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /images/top-bg.png                                   | 0.005 | 0.008  | 0.013   | 0.007 | 0.008  | 0.008  | 0.008  | 0.002  | 549793.000 | 549793.000 | 1099586.000 | 549793.000 |
