+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN  |  MAX   |   SUM    |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 31    | 0   | 1    | 0   | 30  | 0   | GET    | /api/owner/chairs                                    | 0.748 | 10.004 | 300.596  | 9.697 | 10.004 | 10.004 | 10.004 | 1.634  | 0.000      | 18992.000  | 18992.000   | 612.645    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                      | 7.156 | 7.156  | 7.156    | 7.156 | 7.156  | 7.156  | 7.156  | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 19    | 0   | 19   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                               | 1.272 | 4.656  | 52.996   | 2.789 | 4.644  | 4.656  | 4.656  | 1.053  | 42.000     | 915.000    | 6845.000    | 360.263    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JYK99QB0BSY3WQGFYSVFAWGZ/evaluation | 1.180 | 1.180  | 1.180    | 1.180 | 1.180  | 1.180  | 1.180  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JYK99QTSSEY1CYZD7DDYA354/evaluation | 1.072 | 1.072  | 1.072    | 1.072 | 1.072  | 1.072  | 1.072  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JYK9ASMEJKMCB5XKDGWYKQGJ/status   | 0.676 | 0.872  | 1.548    | 0.774 | 0.872  | 0.872  | 0.872  | 0.098  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JYK99PNRFNH61Z0RMW3RR0F3/evaluation | 0.764 | 0.764  | 0.764    | 0.764 | 0.764  | 0.764  | 0.764  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JYK9ASMEJKMCB5XKDGWYKQGJ/evaluation | 0.756 | 0.756  | 0.756    | 0.756 | 0.756  | 0.756  | 0.756  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 17    | 0   | 17   | 0   | 0   | 0   | POST   | /api/app/rides                                       | 0.204 | 1.024  | 11.812   | 0.695 | 0.984  | 1.024  | 1.024  | 0.203  | 51.000     | 52.000     | 881.000     | 51.824     |
