+-------+-----+------+-----+-----+-----+--------+---------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                  URI                  |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+---------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                       | 13.157 | 13.157 | 13.157  | 13.157 | 13.157 | 13.157 | 13.157 | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 12    | 0   | 12   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                | 2.060  | 3.116  | 32.480  | 2.707  | 3.020  | 3.116  | 3.116  | 0.285  | 42.000     | 739.000    | 3089.000    | 257.417    |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/coordinate                 | 0.716  | 1.580  | 23.876  | 1.194  | 1.436  | 1.464  | 1.580  | 0.235  | 29.000     | 29.000     | 580.000     | 29.000     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/rides                        | 0.532  | 0.936  | 7.412   | 0.741  | 0.852  | 0.936  | 0.936  | 0.135  | 51.000     | 52.000     | 517.000     | 51.700     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods              | 0.272  | 0.688  | 5.124   | 0.512  | 0.656  | 0.688  | 0.688  | 0.150  | 0.000      | 0.000      | 0.000       | 0.000      |
| 619   | 0   | 609  | 0   | 10  | 0   | GET    | /api/app/notification                 | 0.068  | 0.980  | 317.140 | 0.512  | 0.708  | 0.784  | 0.892  | 0.156  | 0.000      | 424.000    | 245587.000  | 396.748    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                     | 0.308  | 0.308  | 0.308   | 0.308  | 0.308  | 0.308  | 0.308  | 0.000  | 9183.000   | 9183.000   | 9183.000    | 9183.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales                      | 0.256  | 0.256  | 0.256   | 0.256  | 0.256  | 0.256  | 0.256  | 0.000  | 9017.000   | 9017.000   | 9017.000    | 9017.000   |
| 15    | 0   | 15   | 0   | 0   | 0   | GET    | /api/app/rides                        | 0.012  | 0.580  | 3.552   | 0.237  | 0.536  | 0.580  | 0.580  | 0.175  | 12.000     | 2158.000   | 4078.000    | 271.867    |
| 3406  | 0   | 3392 | 0   | 14  | 0   | GET    | /api/chair/notification               | 0.004  | 1.100  | 663.356 | 0.195  | 0.372  | 0.436  | 0.568  | 0.127  | 0.000      | 286.000    | 349086.000  | 102.491    |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                   | 0.080  | 0.232  | 3.564   | 0.178  | 0.232  | 0.232  | 0.232  | 0.046  | 0.000      | 0.000      | 0.000       | 0.000      |
| 96    | 0   | 96   | 0   | 0   | 0   | GET    | /api/owner/chairs                     | 0.012  | 0.668  | 14.756  | 0.154  | 0.264  | 0.324  | 0.668  | 0.101  | 644.000    | 19014.000  | 90552.000   | 943.250    |
| 14    | 0   | 14   | 0   | 0   | 0   | POST   | /api/app/rides/estimated-fare         | 0.004  | 0.220  | 1.412   | 0.101  | 0.192  | 0.220  | 0.220  | 0.071  | 26.000     | 29.000     | 396.000     | 28.286     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/users                        | 0.008  | 0.024  | 0.184   | 0.018  | 0.024  | 0.024  | 0.024  | 0.006  | 86.000     | 86.000     | 860.000     | 86.000     |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/chairs                     | 0.008  | 0.024  | 0.324   | 0.016  | 0.020  | 0.024  | 0.024  | 0.004  | 75.000     | 75.000     | 1500.000    | 75.000     |
| 5     | 0   | 5    | 0   | 0   | 0   | POST   | /api/owner/owners                     | 0.008  | 0.012  | 0.052   | 0.010  | 0.012  | 0.012  | 0.012  | 0.002  | 125.000    | 125.000    | 625.000     | 125.000    |
| 4101  | 0   | 4084 | 0   | 0   | 17  | GET    | /api/internal/matching                | 0.000  | 0.524  | 23.164  | 0.006  | 0.008  | 0.008  | 0.048  | 0.016  | 0.000      | 166.000    | 1261.000    | 0.307      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /images/top-bg.png                    | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 549793.000 | 549793.000 | 549793.000  | 549793.000 |
