+-------+-----+------+-----+-----+-----+--------+----------------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                        URI                         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                    | 13.504 | 13.504 | 13.504  | 13.504 | 13.504 | 13.504 | 13.504 | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 19    | 0   | 19   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                             | 0.784  | 1.400  | 20.352  | 1.071  | 1.356  | 1.400  | 1.400  | 0.156  | 42.000     | 851.000    | 4584.000    | 241.263    |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                                | 0.088  | 1.168  | 12.064  | 0.603  | 0.844  | 0.852  | 1.168  | 0.324  | 0.000      | 0.000      | 0.000       | 0.000      |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods                           | 0.284  | 1.060  | 5.576   | 0.558  | 0.788  | 1.060  | 1.060  | 0.220  | 0.000      | 0.000      | 0.000       | 0.000      |
| 511   | 0   | 511  | 0   | 0   | 0   | POST   | /api/chair/coordinate                              | 0.100  | 1.372  | 200.384 | 0.392  | 0.568  | 0.660  | 0.960  | 0.163  | 29.000     | 29.000     | 14819.000   | 29.000     |
| 967   | 0   | 961  | 0   | 6   | 0   | GET    | /api/app/notification                              | 0.020  | 0.788  | 305.168 | 0.316  | 0.504  | 0.560  | 0.644  | 0.137  | 0.000      | 438.000    | 398334.000  | 411.928    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K0VFC3DD3TPMKQWD8WV89FA2/status | 0.304  | 0.304  | 0.304   | 0.304  | 0.304  | 0.304  | 0.304  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/rides                                     | 0.104  | 0.412  | 2.904   | 0.290  | 0.396  | 0.412  | 0.412  | 0.088  | 51.000     | 52.000     | 517.000     | 51.700     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                                  | 0.256  | 0.256  | 0.256   | 0.256  | 0.256  | 0.256  | 0.256  | 0.000  | 9183.000   | 9183.000   | 9183.000    | 9183.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K0VFC3CKP1N95QKKK8MJW1FK/status | 0.240  | 0.240  | 0.240   | 0.240  | 0.240  | 0.240  | 0.240  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales                                   | 0.228  | 0.228  | 0.228   | 0.228  | 0.228  | 0.228  | 0.228  | 0.000  | 9017.000   | 9017.000   | 9017.000    | 9017.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K0VFC3EH4MNFP51P8ZHMBARW/status | 0.184  | 0.184  | 0.184   | 0.184  | 0.184  | 0.184  | 0.184  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 670   | 0   | 670  | 0   | 0   | 0   | GET    | /api/chair/notification                            | 0.004  | 0.828  | 106.217 | 0.159  | 0.332  | 0.416  | 0.664  | 0.129  | 35.000     | 271.000    | 87115.000   | 130.022    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K0VFC33YB8494XE6K7QA5BHA/status | 0.152  | 0.152  | 0.152   | 0.152  | 0.152  | 0.152  | 0.152  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 22    | 0   | 22   | 0   | 0   | 0   | GET    | /api/app/rides                                     | 0.008  | 0.468  | 3.224   | 0.147  | 0.388  | 0.412  | 0.468  | 0.144  | 12.000     | 2158.000   | 4162.000    | 189.182    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K0VFC2PQXFD76F8DC4GYMC0S/status | 0.136  | 0.136  | 0.136   | 0.136  | 0.136  | 0.136  | 0.136  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K0VFC3C8B6ZQ3VD157JRF7G7/status | 0.128  | 0.128  | 0.128   | 0.128  | 0.128  | 0.128  | 0.128  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K0VFC4J2N0ZZNRMHZKBZWCN4/status | 0.120  | 0.120  | 0.120   | 0.120  | 0.120  | 0.120  | 0.120  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 91    | 0   | 91   | 0   | 0   | 0   | GET    | /api/owner/chairs                                  | 0.008  | 0.344  | 9.320   | 0.102  | 0.200  | 0.264  | 0.344  | 0.072  | 589.000    | 19007.000  | 88797.000   | 975.791    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K0VFC2SZATS2K3DNMPD14CZH/status | 0.076  | 0.076  | 0.076   | 0.076  | 0.076  | 0.076  | 0.076  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K0VFC23J2YM2MYTXQN3GXVY0/status | 0.056  | 0.056  | 0.056   | 0.056  | 0.056  | 0.056  | 0.056  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 14    | 0   | 14   | 0   | 0   | 0   | POST   | /api/app/rides/estimated-fare                      | 0.004  | 0.108  | 0.688   | 0.049  | 0.096  | 0.108  | 0.108  | 0.036  | 26.000     | 29.000     | 396.000     | 28.286     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K0VFC23QS66YE5HPN84ZMC3Y/status | 0.024  | 0.024  | 0.024   | 0.024  | 0.024  | 0.024  | 0.024  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/chairs                                  | 0.012  | 0.024  | 0.340   | 0.017  | 0.020  | 0.020  | 0.024  | 0.003  | 75.000     | 75.000     | 1500.000    | 75.000     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/users                                     | 0.012  | 0.020  | 0.148   | 0.015  | 0.016  | 0.020  | 0.020  | 0.003  | 86.000     | 86.000     | 860.000     | 86.000     |
| 5     | 0   | 5    | 0   | 0   | 0   | POST   | /api/owner/owners                                  | 0.012  | 0.020  | 0.072   | 0.014  | 0.020  | 0.020  | 0.020  | 0.003  | 125.000    | 125.000    | 625.000     | 125.000    |
| 2183  | 0   | 2165 | 0   | 0   | 18  | GET    | /api/internal/matching                             | 0.004  | 0.416  | 13.756  | 0.006  | 0.008  | 0.012  | 0.056  | 0.016  | 0.000      | 166.000    | 1330.000    | 0.609      |
| 125   | 0   | 16   | 109 | 0   | 0   | GET    | /assets/components-Cbm4tYXz.js                     | 0.000  | 0.007  | 0.025   | 0.000  | 0.000  | 0.000  | 0.005  | 0.001  | 0.000      | 184569.000 | 2953104.000 | 23624.832  |
| 30    | 0   | 11   | 19  | 0   | 0   | GET    | /images/town.svg                                   | 0.000  | 0.003  | 0.006   | 0.000  | 0.000  | 0.002  | 0.003  | 0.001  | 0.000      | 128735.000 | 1416085.000 | 47202.833  |
| 35    | 0   | 16   | 19  | 0   | 0   | GET    | /assets/text-DfCqYLRl.js                           | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 505.000    | 8080.000    | 230.857    |
| 30    | 0   | 11   | 19  | 0   | 0   | GET    | /images/buildings2.svg                             | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 23825.000  | 262075.000  | 8735.833   |
| 11    | 0   | 11   | 0   | 0   | 0   | GET    | /assets/date-input-Br46mw6i.js                     | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 425.000    | 425.000    | 4675.000    | 425.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-Ckv8UtcK.js                          | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1148.000   | 1148.000   | 1148.000    | 1148.000   |
| 96    | 0   | 6    | 90  | 0   | 0   | GET    | /assets/route-DzrPVuAG.js                          | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 1908.000   | 11448.000   | 119.250    |
| 30    | 0   | 11   | 19  | 0   | 0   | GET    | /images/buildings1.svg                             | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 13886.000  | 152746.000  | 5091.533   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /apple-touch-icon-180x180.png                      | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1020.000   | 1020.000   | 1020.000    | 1020.000   |
| 125   | 0   | 16   | 109 | 0   | 0   | GET    | /favicon-32x32.png                                 | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 336.000    | 5376.000    | 43.008     |
| 30    | 0   | 11   | 19  | 0   | 0   | GET    | /assets/frame-CJ9SHS1U.js                          | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 344.000    | 3784.000    | 126.133    |
| 125   | 0   | 16   | 109 | 0   | 0   | GET    | /assets/isuride-CWZY8A89.js                        | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 834.000    | 13344.000   | 106.752    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/map-WlZ9yiya.js                            | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 11712.000  | 11712.000  | 11712.000   | 11712.000  |
| 30    | 0   | 11   | 19  | 0   | 0   | GET    | /assets/client-context-C6wEaUbS.js                 | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 2262.000   | 24882.000   | 829.400    |
| 125   | 0   | 16   | 109 | 0   | 0   | GET    | /assets/colors-DB9lnfSt.js                         | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 5678.000   | 90848.000   | 726.784    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /favicon-128x128.png                               | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 783.000    | 783.000    | 783.000     | 783.000    |
| 96    | 0   | 6    | 90  | 0   | 0   | GET    | /assets/account-switch-C7WpOYxZ.js                 | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 553.000    | 3318.000    | 34.562     |
| 106   | 0   | 16   | 90  | 0   | 0   | GET    | /assets/button-CS9qg6Tt.js                         | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 843.000    | 13488.000   | 127.245    |
| 125   | 0   | 16   | 109 | 0   | 0   | GET    | /favicon.ico                                       | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 16958.000  | 271328.000  | 2170.624   |
