+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+---------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+---------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 21    | 0   | 1    | 0   | 20  | 0   | GET    | /api/owner/chairs                                    | 0.700 | 10.008 | 189.984 | 9.047 | 10.008 | 10.008 | 10.008 | 2.102  | 0.000      | 19014.000  | 19014.000   | 905.429    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                      | 6.456 | 6.456  | 6.456   | 6.456 | 6.456  | 6.456  | 6.456  | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 11    | 0   | 11   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                               | 1.520 | 3.632  | 27.168  | 2.470 | 3.156  | 3.632  | 3.632  | 0.622  | 42.000     | 945.000    | 4326.000    | 393.273    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JXFARD3TY9AXS6EMPD7GVHD1/evaluation | 0.716 | 0.716  | 0.716   | 0.716 | 0.716  | 0.716  | 0.716  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFARDMR1D17RJZQ35Y9PV43/status   | 0.656 | 0.656  | 0.656   | 0.656 | 0.656  | 0.656  | 0.656  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 530   | 0   | 520  | 0   | 10  | 0   | GET    | /api/app/notification                                | 0.032 | 2.068  | 345.568 | 0.652 | 1.120  | 1.228  | 1.532  | 0.321  | 0.000      | 437.000    | 199555.000  | 376.519    |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/rides                                       | 0.280 | 0.968  | 6.152   | 0.615 | 0.960  | 0.968  | 0.968  | 0.256  | 51.000     | 52.000     | 517.000     | 51.700     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFARD5ED1MWW6FM1CCYT389/status   | 0.552 | 0.552  | 0.552   | 0.552 | 0.552  | 0.552  | 0.552  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 452   | 0   | 452  | 0   | 0   | 0   | POST   | /api/chair/coordinate                                | 0.084 | 1.308  | 248.592 | 0.550 | 0.888  | 1.040  | 1.184  | 0.241  | 29.000     | 29.000     | 13108.000   | 29.000     |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFARE1MWY97F03CFFA5EK37/status   | 0.388 | 0.684  | 1.072   | 0.536 | 0.684  | 0.684  | 0.684  | 0.148  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFARF4CDNZPGX9NKHTKFTGG/status   | 0.396 | 0.568  | 0.964   | 0.482 | 0.568  | 0.568  | 0.568  | 0.086  | 0.000      | 0.000      | 0.000       | 0.000      |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods                             | 0.272 | 0.940  | 4.720   | 0.472 | 0.904  | 0.940  | 0.940  | 0.229  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFARDFPSP59SYES25STP4XV/status   | 0.456 | 0.456  | 0.456   | 0.456 | 0.456  | 0.456  | 0.456  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                                  | 0.196 | 0.804  | 8.064   | 0.403 | 0.480  | 0.612  | 0.804  | 0.133  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFAREQK4YMGQS98FD4Q63ER/status   | 0.332 | 0.332  | 0.332   | 0.332 | 0.332  | 0.332  | 0.332  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales                                     | 0.268 | 0.268  | 0.268   | 0.268 | 0.268  | 0.268  | 0.268  | 0.000  | 9017.000   | 9017.000   | 9017.000    | 9017.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFARDCTRCA1P8SQDET94P3P/status   | 0.260 | 0.272  | 0.532   | 0.266 | 0.272  | 0.272  | 0.272  | 0.006  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFARD3TY9AXS6EMPD7GVHD1/status   | 0.140 | 0.372  | 0.512   | 0.256 | 0.372  | 0.372  | 0.372  | 0.116  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                                    | 0.248 | 0.248  | 0.248   | 0.248 | 0.248  | 0.248  | 0.248  | 0.000  | 9190.000   | 9190.000   | 9190.000    | 9190.000   |
| 2978  | 0   | 2966 | 0   | 12  | 0   | GET    | /api/chair/notification                              | 0.004 | 1.184  | 710.336 | 0.239 | 0.496  | 0.636  | 0.868  | 0.187  | 0.000      | 268.000    | 248980.000  | 83.606     |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFARGJQX1JYENA4RRSQDXHB/status   | 0.196 | 0.276  | 0.472   | 0.236 | 0.276  | 0.276  | 0.276  | 0.040  | 0.000      | 0.000      | 0.000       | 0.000      |
| 14    | 0   | 14   | 0   | 0   | 0   | GET    | /api/app/rides                                       | 0.012 | 0.268  | 1.624   | 0.116 | 0.224  | 0.268  | 0.268  | 0.071  | 12.000     | 2158.000   | 4066.000    | 290.429    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXFAREPQJNP5GDBQYNKTF99K/status   | 0.104 | 0.104  | 0.104   | 0.104 | 0.104  | 0.104  | 0.104  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 14    | 0   | 14   | 0   | 0   | 0   | POST   | /api/app/rides/estimated-fare                        | 0.008 | 0.304  | 1.104   | 0.079 | 0.172  | 0.304  | 0.304  | 0.082  | 26.000     | 29.000     | 396.000     | 28.286     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/users                                       | 0.012 | 0.024  | 0.176   | 0.018 | 0.024  | 0.024  | 0.024  | 0.004  | 86.000     | 86.000     | 860.000     | 86.000     |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/chairs                                    | 0.012 | 0.020  | 0.296   | 0.015 | 0.016  | 0.020  | 0.020  | 0.003  | 75.000     | 75.000     | 1500.000    | 75.000     |
| 5     | 0   | 5    | 0   | 0   | 0   | POST   | /api/owner/owners                                    | 0.012 | 0.016  | 0.072   | 0.014 | 0.016  | 0.016  | 0.016  | 0.002  | 125.000    | 125.000    | 625.000     | 125.000    |
| 1137  | 0   | 1133 | 0   | 0   | 4   | GET    | /api/internal/matching                               | 0.008 | 0.748  | 11.604  | 0.010 | 0.008  | 0.008  | 0.180  | 0.047  | 0.000      | 69.000     | 267.000     | 0.235      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /images/top-bg.png                                   | 0.007 | 0.007  | 0.007   | 0.007 | 0.007  | 0.007  | 0.007  | 0.000  | 549793.000 | 549793.000 | 549793.000  | 549793.000 |
